Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID,next_state,predicted_time
Obtained,User_52,W_Call after offers,Workflow,Workitem_719909876,start,2016-01-02 11:30:28.631000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,A_Validating,2016-01-02 20:38:18.491000+00:00
statechange,User_52,A_Complete,Application,ApplState_946455804,complete,2016-01-02 11:30:28.633000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,A_Validating,2016-01-02 17:55:39.453000+00:00
Released,User_52,W_Call after offers,Workflow,Workitem_1447720177,suspend,2016-01-02 11:32:41.624000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-02 19:02:39.544000+00:00
Obtained,User_11,W_Call after offers,Workflow,Workitem_1260329040,resume,2016-01-06 09:26:44.492000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-06 16:01:50.122000+00:00
Released,User_11,W_Call after offers,Workflow,Workitem_1152103512,suspend,2016-01-06 09:27:08.472000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-06 16:00:28.492000+00:00
Deleted,User_117,W_Call after offers,Workflow,Workitem_524990185,ate_abort,2016-01-13 13:10:55.138000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,A_Validating,2016-01-13 18:38:57.138000+00:00
Created,User_117,W_Validate application,Workflow,Workitem_781654767,schedule,2016-01-13 13:10:55.144000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-13 17:53:25.904000+00:00
Obtained,User_117,W_Validate application,Workflow,Workitem_1641716416,start,2016-01-13 13:10:55.145000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-13 18:23:56.105000+00:00
statechange,User_117,A_Validating,Application,ApplState_752879093,complete,2016-01-13 13:10:55.973000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-13 18:46:41.603000+00:00
statechange,User_117,O_Returned,Offer,OfferState_1310330551,complete,2016-01-13 13:11:03.569000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,Offer_148581083,O_Cancelled,2016-01-13 17:02:35.389000+00:00
Released,User_117,W_Validate application,Workflow,Workitem_823786158,suspend,2016-01-13 13:15:39.110000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-13 16:50:39.580000+00:00
Deleted,User_115,W_Validate application,Workflow,Workitem_392297123,ate_abort,2016-01-14 09:16:20.963000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 13:16:55.523000+00:00
Created,User_115,W_Call incomplete files,Workflow,Workitem_835564623,schedule,2016-01-14 09:16:20.970000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 13:52:00.250000+00:00
Obtained,User_115,W_Call incomplete files,Workflow,Workitem_2031858979,start,2016-01-14 09:16:20.972000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Create Offer,2016-01-14 12:47:49.532000+00:00
statechange,User_115,A_Incomplete,Application,ApplState_390139749,complete,2016-01-14 09:16:20.974000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Created,2016-01-14 13:35:09.994000+00:00
Released,User_115,W_Call incomplete files,Workflow,Workitem_1628953525,suspend,2016-01-14 09:17:46.943000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Sent (online only),2016-01-14 13:19:40.693000+00:00
Obtained,User_2,W_Call incomplete files,Workflow,Workitem_943086771,resume,2016-01-14 11:27:28.536000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Returned,2016-01-14 13:14:42.736000+00:00
Released,User_2,W_Call incomplete files,Workflow,Workitem_50564835,suspend,2016-01-14 11:30:19.089000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,A_Validating,2016-01-14 14:13:04.059000+00:00
Deleted,User_117,W_Call incomplete files,Workflow,Workitem_1225999065,ate_abort,2016-01-14 13:39:51.407000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Accepted,2016-01-14 15:36:43.967000+00:00
Created,User_117,W_Validate application,Workflow,Workitem_801031108,schedule,2016-01-14 13:39:51.492000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,A_Pending,2016-01-14 16:02:42.592000+00:00
Obtained,User_117,W_Validate application,Workflow,Workitem_2071763612,start,2016-01-14 13:39:51.494000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 16:13:47.224000+00:00
statechange,User_117,A_Validating,Application,ApplState_1264188685,complete,2016-01-14 13:39:51.556000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 20:15:38.376000+00:00
Released,User_117,W_Validate application,Workflow,Workitem_646578909,suspend,2016-01-14 13:54:49.680000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 16:13:29.270000+00:00
statechange,User_115,O_Accepted,Offer,OfferState_1093322349,complete,2016-01-14 15:49:11.416000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,Offer_148581083,O_Cancelled,2016-01-14 16:01:37.716000+00:00
statechange,User_115,A_Pending,Application,ApplState_1179730815,complete,2016-01-14 15:49:11.420000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 18:09:57.800000+00:00
Deleted,User_115,W_Validate application,Workflow,Workitem_2067229931,ate_abort,2016-01-14 15:49:11.423000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,O_Cancelled,2016-01-14 23:56:38.843000+00:00
Created,User_1,A_Create Application,Application,Application_1691306052,complete,2016-01-01 10:16:11.500000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Submitted,2016-01-01 10:16:11.620000+00:00
statechange,User_1,A_Submitted,Application,ApplState_284636842,complete,2016-01-01 10:16:11.549000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Concept,2016-01-01 10:57:40.749000+00:00
Created,User_1,W_Handle leads,Workflow,Workitem_831373279,schedule,2016-01-01 10:16:11.740000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,W_Complete application,2016-01-01 17:32:39.040000+00:00
Deleted,User_1,W_Handle leads,Workflow,Workitem_1299098074,withdraw,2016-01-01 10:17:31.573000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Accepted,2016-01-01 11:44:31.823000+00:00
Created,User_1,W_Complete application,Workflow,Workitem_1703931302,schedule,2016-01-01 10:17:31.584000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Create Offer,2016-01-01 10:25:55.814000+00:00
statechange,User_1,A_Concept,Application,ApplState_421204851,complete,2016-01-01 10:17:31.594000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Created,2016-01-01 10:22:24.164000+00:00
Obtained,User_17,W_Complete application,Workflow,Workitem_1746553641,start,2016-01-02 10:50:42.796000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Sent (mail and online),2016-01-02 15:34:40.766000+00:00
Released,User_17,W_Complete application,Workflow,Workitem_1713535355,suspend,2016-01-02 10:51:27.582000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Complete,2016-01-04 06:44:50.712000+00:00
Obtained,User_38,W_Complete application,Workflow,Workitem_1495694398,resume,2016-01-02 10:53:34.108000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Create Offer,2016-01-03 16:32:33.848000+00:00
statechange,User_38,A_Accepted,Application,ApplState_525970231,complete,2016-01-02 10:59:44.735000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Created,2016-01-02 20:43:51.385000+00:00
Created,User_38,O_Create Offer,Offer,Offer_1669071500,complete,2016-01-02 11:02:38.994000+00:00,Home improvement,New credit,Application_1691306052,10000.0,500.0,33.0,False,200.0,False,0.0,6000.0,,O_Sent (mail and online),2016-01-03 04:03:54.874000+00:00
statechange,User_38,O_Created,Offer,OfferState_680973097,complete,2016-01-02 11:02:40.442000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,Offer_1669071500,A_Validating,2016-01-03 03:43:13.962000+00:00
statechange,User_38,O_Sent (mail and online),Offer,OfferState_618588716,complete,2016-01-02 11:03:05.300000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,Offer_1669071500,O_Cancelled,2016-01-02 19:00:03.530000+00:00
Deleted,User_38,W_Complete application,Workflow,Workitem_28216352,complete,2016-01-02 11:03:05.324000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-02 19:10:36.454000+00:00
Created,User_38,W_Call after offers,Workflow,Workitem_81733400,schedule,2016-01-02 11:03:05.337000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Validating,2016-01-02 20:10:55.197000+00:00
Obtained,User_38,W_Call after offers,Workflow,Workitem_107760987,start,2016-01-02 11:03:05.343000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Validating,2016-01-02 17:28:16.163000+00:00
statechange,User_38,A_Complete,Application,ApplState_173433077,complete,2016-01-02 11:03:05.346000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-02 18:33:03.266000+00:00
Released,User_38,W_Call after offers,Workflow,Workitem_635624695,suspend,2016-01-02 11:09:15.653000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-02 17:44:21.283000+00:00
Obtained,User_11,W_Call after offers,Workflow,Workitem_1059415130,resume,2016-01-06 09:03:54.964000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-06 15:37:14.984000+00:00
Released,User_11,W_Call after offers,Workflow,Workitem_47243651,suspend,2016-01-06 09:04:21.232000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,A_Validating,2016-01-06 14:32:23.232000+00:00
Deleted,User_119,W_Call after offers,Workflow,Workitem_1908827665,ate_abort,2016-01-07 09:40:08.551000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 14:22:39.311000+00:00
Created,User_119,W_Validate application,Workflow,Workitem_960318560,schedule,2016-01-07 09:40:08.558000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 14:53:09.518000+00:00
Obtained,User_119,W_Validate application,Workflow,Workitem_736976847,start,2016-01-07 09:40:08.560000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 15:15:54.190000+00:00
statechange,User_119,A_Validating,Application,ApplState_2031628358,complete,2016-01-07 09:40:09.412000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 13:31:41.232000+00:00
Released,User_119,W_Validate application,Workflow,Workitem_338353106,suspend,2016-01-07 09:49:11.840000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 13:24:12.310000+00:00
Obtained,User_30,W_Validate application,Workflow,Workitem_1522720538,resume,2016-01-07 11:34:12.366000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 15:34:46.926000+00:00
Released,User_30,W_Validate application,Workflow,Workitem_313764426,suspend,2016-01-07 11:34:27.025000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Cancelled,2016-01-07 16:10:06.305000+00:00
Obtained,User_68,W_Validate application,Workflow,Workitem_1377364007,resume,2016-01-07 13:17:02.426000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Create Offer,2016-01-07 16:48:30.986000+00:00
statechange,User_68,A_Denied,Application,ApplState_1181660825,complete,2016-01-07 13:29:49.671000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Created,2016-01-07 17:48:38.691000+00:00
statechange,User_68,O_Refused,Offer,OfferState_1494429296,complete,2016-01-07 13:29:49.710000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,Offer_1669071500,O_Sent (online only),2016-01-07 17:31:43.460000+00:00
Deleted,User_68,W_Validate application,Workflow,Workitem_72878931,complete,2016-01-07 13:29:49.725000+00:00,Home improvement,New credit,Application_1691306052,10000.0,,,,,,,,,O_Returned,2016-01-07 15:17:03.925000+00:00
Created,User_1,A_Create Application,Application,Application_428409768,complete,2016-01-01 11:19:38.177000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Submitted,2016-01-01 11:19:38.297000+00:00
statechange,User_1,A_Submitted,Application,ApplState_105207793,complete,2016-01-01 11:19:38.235000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Concept,2016-01-01 12:01:07.435000+00:00
Created,User_1,W_Handle leads,Workflow,Workitem_1185806608,schedule,2016-01-01 11:19:38.914000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,W_Complete application,2016-01-01 18:36:06.214000+00:00
Deleted,User_1,W_Handle leads,Workflow,Workitem_835967796,withdraw,2016-01-01 11:20:37.391000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Accepted,2016-01-01 12:47:37.641000+00:00
Created,User_1,W_Complete application,Workflow,Workitem_755889823,schedule,2016-01-01 11:20:37.409000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Create Offer,2016-01-01 11:29:01.639000+00:00
statechange,User_1,A_Concept,Application,ApplState_1727723699,complete,2016-01-01 11:20:37.422000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Created,2016-01-01 11:25:29.992000+00:00
Obtained,User_19,W_Complete application,Workflow,Workitem_62767814,start,2016-01-02 10:55:03.169000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Sent (mail and online),2016-01-02 15:39:01.139000+00:00
statechange,User_19,A_Accepted,Application,ApplState_504362841,complete,2016-01-02 11:02:44.472000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Complete,2016-01-04 06:56:07.602000+00:00
Created,User_19,O_Create Offer,Offer,Offer_1209840642,complete,2016-01-02 11:05:15.942000+00:00,Home improvement,New credit,Application_428409768,15000.0,15000.0,120.0,True,158.98,False,0.0,15000.0,,O_Create Offer,2016-01-03 16:44:15.682000+00:00
statechange,User_19,O_Created,Offer,OfferState_942949889,complete,2016-01-02 11:05:17.204000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_1209840642,O_Created,2016-01-02 20:49:23.854000+00:00
statechange,User_19,O_Sent (mail and online),Offer,OfferState_253970058,complete,2016-01-02 11:06:53.268000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_1209840642,O_Sent (mail and online),2016-01-03 04:08:09.148000+00:00
Deleted,User_19,W_Complete application,Workflow,Workitem_2003414398,complete,2016-01-02 11:06:53.291000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Validating,2016-01-03 03:47:26.811000+00:00
Created,User_19,W_Call after offers,Workflow,Workitem_1530416988,schedule,2016-01-02 11:06:53.310000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-02 19:03:51.540000+00:00
Obtained,User_19,W_Call after offers,Workflow,Workitem_1340137029,start,2016-01-02 11:06:53.312000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-02 19:14:24.442000+00:00
statechange,User_19,A_Complete,Application,ApplState_864110001,complete,2016-01-02 11:06:53.316000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Validating,2016-01-02 20:14:43.176000+00:00
Released,User_19,W_Call after offers,Workflow,Workitem_1717804686,suspend,2016-01-02 11:07:21.200000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Validating,2016-01-02 17:32:32.020000+00:00
Created,User_19,O_Create Offer,Offer,Offer_997411923,complete,2016-01-02 11:25:44.202000+00:00,Home improvement,New credit,Application_428409768,15000.0,15000.0,120.0,True,158.98,True,1059.0,15000.0,,O_Cancelled,2016-01-02 18:55:42.122000+00:00
statechange,User_19,O_Created,Offer,OfferState_1967587147,complete,2016-01-02 11:25:45.416000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923,O_Cancelled,2016-01-02 18:00:51.046000+00:00
statechange,User_19,O_Cancelled,Offer,OfferState_1893960455,complete,2016-01-02 11:26:06.088000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_1209840642,O_Cancelled,2016-01-02 17:59:26.108000+00:00
statechange,User_19,O_Sent (mail and online),Offer,OfferState_600565321,complete,2016-01-02 11:26:19.140000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923,A_Validating,2016-01-02 16:54:21.140000+00:00
Obtained,User_11,W_Call after offers,Workflow,Workitem_1081743155,resume,2016-01-06 09:24:20.694000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-06 14:06:51.454000+00:00
Released,User_11,W_Call after offers,Workflow,Workitem_1371373781,suspend,2016-01-06 09:24:49.245000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-06 14:37:50.205000+00:00
Deleted,User_116,W_Call after offers,Workflow,Workitem_1500398862,ate_abort,2016-01-13 08:57:21.302000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 14:33:06.932000+00:00
Created,User_116,W_Validate application,Workflow,Workitem_426017595,schedule,2016-01-13 08:57:21.325000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 12:48:53.145000+00:00
Obtained,User_116,W_Validate application,Workflow,Workitem_1121078170,start,2016-01-13 08:57:21.342000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 12:32:21.812000+00:00
statechange,User_116,A_Validating,Application,ApplState_145257449,complete,2016-01-13 08:57:22.349000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 12:57:56.909000+00:00
statechange,User_116,O_Returned,Offer,OfferState_836197344,complete,2016-01-13 09:08:14.217000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923,O_Cancelled,2016-01-13 13:43:53.497000+00:00
Released,User_116,W_Validate application,Workflow,Workitem_1394551701,suspend,2016-01-13 09:14:02.550000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Create Offer,2016-01-13 12:45:31.110000+00:00
Deleted,User_101,W_Validate application,Workflow,Workitem_2084533572,ate_abort,2016-01-13 12:19:05.156000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Created,2016-01-13 16:37:54.176000+00:00
Created,User_101,W_Call incomplete files,Workflow,Workitem_1388614442,schedule,2016-01-13 12:19:05.170000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Sent (online only),2016-01-13 16:20:58.920000+00:00
Obtained,User_101,W_Call incomplete files,Workflow,Workitem_1761470628,start,2016-01-13 12:19:05.172000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Returned,2016-01-13 14:06:19.372000+00:00
statechange,User_101,A_Incomplete,Application,ApplState_572176202,complete,2016-01-13 12:19:05.175000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Validating,2016-01-13 15:01:50.145000+00:00
Released,User_101,W_Call incomplete files,Workflow,Workitem_2100649407,suspend,2016-01-13 12:19:56.608000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Accepted,2016-01-13 14:16:49.168000+00:00
Obtained,User_34,W_Call incomplete files,Workflow,Workitem_40552916,resume,2016-01-13 14:02:49.347000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,A_Pending,2016-01-13 16:25:40.447000+00:00
Released,User_34,W_Call incomplete files,Workflow,Workitem_1289398961,suspend,2016-01-13 14:34:27.526000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 17:08:23.256000+00:00
Obtained,User_34,W_Call incomplete files,Workflow,Workitem_849113076,resume,2016-01-13 14:46:34.388000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 21:22:21.208000+00:00
Released,User_34,W_Call incomplete files,Workflow,Workitem_368244091,suspend,2016-01-13 14:46:59.441000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 17:05:39.031000+00:00
Deleted,User_31,W_Call incomplete files,Workflow,Workitem_858139282,ate_abort,2016-01-13 16:01:21.189000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 16:13:47.489000+00:00
Created,User_31,W_Validate application,Workflow,Workitem_225523018,schedule,2016-01-13 16:01:21.199000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 18:22:07.579000+00:00
Obtained,User_31,W_Validate application,Workflow,Workitem_394720997,start,2016-01-13 16:01:21.201000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-14 00:08:48.621000+00:00
statechange,User_31,A_Validating,Application,ApplState_1022298,complete,2016-01-13 16:01:21.274000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 21:49:25.214000+00:00
Released,User_31,W_Validate application,Workflow,Workitem_679096434,suspend,2016-01-13 16:01:56.185000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-13 16:25:26.735000+00:00
statechange,User_90,O_Accepted,Offer,OfferState_892473715,complete,2016-01-14 07:00:14.440000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,Offer_997411923,O_Cancelled,2016-01-14 07:47:23.330000+00:00
statechange,User_90,A_Pending,Application,ApplState_16917315,complete,2016-01-14 07:00:14.450000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-14 08:42:45.230000+00:00
Deleted,User_90,W_Validate application,Workflow,Workitem_5585256,ate_abort,2016-01-14 07:00:14.468000+00:00,Home improvement,New credit,Application_428409768,15000.0,,,,,,,,,O_Cancelled,2016-01-14 09:06:37.998000+00:00
Created,User_1,A_Create Application,Application,Application_1746793196,complete,2016-01-01 12:34:53.911000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,A_Submitted,2016-01-01 12:34:54.031000+00:00
statechange,User_1,A_Submitted,Application,ApplState_282472804,complete,2016-01-01 12:34:53.950000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,A_Concept,2016-01-01 13:16:23.150000+00:00
Created,User_1,W_Handle leads,Workflow,Workitem_1676837235,schedule,2016-01-01 12:34:54.320000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,W_Complete application,2016-01-01 19:51:21.620000+00:00
Obtained,User_17,W_Handle leads,Workflow,Workitem_1237205341,start,2016-01-02 09:05:02.658000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,A_Accepted,2016-01-02 10:32:02.908000+00:00
Deleted,User_17,W_Handle leads,Workflow,Workitem_548358991,complete,2016-01-02 09:06:04.201000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,O_Create Offer,2016-01-02 09:14:28.431000+00:00
